current_train_id,train_file_address,train_service_code,revised_train_id,train_id,event_timestamp
,472,52407548,07084M1O08,07401N1O08,1523192915000
,49B,56609010,86420N1T08,86631A1T08,1523212364000
,,24788005,87572E3908,87571E3908,1523222100000
,4GA,56120720,72435N1209,72628B1209,1523222903000
,4DC,59120020,82692BC808,82727ZC808,1523223773000
,499,51610410,22440NCZ08,22630ACZ08,1523224778000
,4FR,59418041,79085NC009,79618BC009,1523231425000
,4NH,54761000,046M501309,047M501309,1523232564000
,4LZ,51120920,51448NC409,51614CC409,1523233015000
,4PR,54761000,560E16C209,566E16C209,1523235550000
,4GK,59120043,82670CC209,82729ZC209,1523239741000
,4SS,51610410,89002OCC09,89478NCC09,1523243796000
,4UJ,52495100,88005OC409,88746ZC409,1523247799000
,4MK,52407540,23012OC609,23446NC609,1523253175000
,4WY,55460180,230R80CA09,234R80CA09,1523253822000
,4CN,51425230,79031OCY08,79676ACY08,1523257686000
,,53790120,82045OCG09,82693DCG09,1523268840000
,52B,56120620,62439OCD09,62691DCD09,1523262443000
,559,57622770,79075OCG09,79623ECG09,1523263020000
,50C,59120036,47630ECF09,47749ZCF09,1523263182000
,,59120020,82084OCJ09,82756ZCJ09,1523273700000
,536,59120043,74646ECF09,74751ZCF09,1523266305000
,58R,53790121,65007PCI09,65656ECI09,1523268711000
,54Q,53790120,22012PCG09,22618ECG09,1523269138000
,590,54606570,82022PCK09,82660ECK09,1523270384000
,5ED,55122820,74484OCL09,74618FCL09,1523276534000
,5FS,50520620,73491OCP09,73638FCP09,1523279479000
,56L,56120622,47497O1P09,47637E1P09,1523280966000
,5HI,54606070,81664F1S09,81496O1S09,1523281790000
,5IP,56609010,74071PCP09,74499OCP09,1523284920000
,,95998090,42075PCY09,42675FCY09,1523302740000
,56P,59430641,79080PCJ09,79640ECJ09,1523284098000
,5F3,59120020,73081PCP09,73764ZCP09,1523284396000
,5J8,51425230,09085PCS09,09670FCS09,1523284928000
,5J7,59430443,79088PCS09,79669FCS09,1523285496000
,,21891002,48271AMQ09,48270AMQ09,1523286360000
48271AMQ09,,21891002,48270AMQ09,48270AMQ09,1523286360000
,5GB,52160341,62421PCW09,62645FCW09,1523286437000
,5MH,56121720,73779ZC809,73613GC809,1523286858000
,5PM,53790121,56004QCT09,56631GCT09,1523289870000
09085PCS09,5J8,51425230,09670FCS09,09670FCS09,1523290296000
,5QT,56120631,46447PCX09,46646GCX09,1523292190000
,5Q0,95998090,04648G2Y09,04633G2Y09,1523292240000
,5NT,55121420,35022QCV09,35623GCV09,1523294940000
,5TI,59418042,79025QCW09,79685GCW09,1523295648000
,5TU,52495100,65027QCY09,65692GCY09,1523296016000
,5E1,51426930,65028QCM09,65614FCM09,1523296033000
,5IR,53790120,86029QCR09,86667FCR09,1523296037000
