src_id,Name,Area,Area type,Station start date,Station end date,Latitude,Longitude,Postcode
940,GT CUMBRAE: MILLPORT ,BUTESHIRE ,COUNTY ,01/01/1910,Current ,55.7493,-4.90659,KA28 0 
1572,GUERNSEY: AIRPORT ,GUERNSEY ,ISLAND ,01/01/1949,Current ,49.432,-2.598,GY8 0 
56908,GURTEEN ,SLIGO ,COUNTY ,01/04/2008,Current ,53.053,-8.009,None 
711,HAMPTON W WKS ,GREATER LONDON ,COUNTY ,01/01/1944,Current ,51.4114,-0.37652,TW12 2 
19211,HARRIS: QUIDNISH ,WESTERN ISLES ,SCOTTISH REGION ,01/09/1997,Current ,57.7803,-6.89629,HS3 3 
24218,HARTPURY COLLEGE ,GLOUCESTERSHIRE ,COUNTY ,01/11/1998,Current ,51.9038,-2.31109,GL19 
818,HASTINGS ,EAST SUSSEX ,COUNTY ,01/01/1934,Current ,50.8552,0.57159,TN34 1 
1144,HAWARDEN AIRPORT ,CLWYD ,COUNTY ,01/01/1944,Current ,53.1752,-2.98499,CH4 0 
863,HAYLING ISLAND ,HAMPSHIRE ,COUNTY ,01/01/1954,Current ,50.7845,-0.98462,PO11 9 
1105,HAZELRIGG ,LANCASHIRE ,COUNTY ,01/01/1976,Current ,54.0138,-2.77371,LA2 0 
708,HEATHROW ,GREATER LONDON ,COUNTY ,01/01/1947,Current ,51.4787,-0.44904,TW6 2 
1523,HELENS BAY ,DOWN ,COUNTY ,01/01/1961,Current ,54.6686,-5.74742,BT20 3 
24996,HEREFORD: CREDENHILL ,HEREFORD & WORCESTER ,COUNTY ,01/08/1999,Current ,52.0796,-2.80102,HR4 
811,HERSTMONCEUX: WEST END ,EAST SUSSEX ,COUNTY ,01/01/1992,Current ,50.8904,0.31818,BN27 4 
481,HIGH BEACH ,ESSEX ,COUNTY ,01/01/1978,Current ,51.6634,0.04298,IG10 4 
527,HIGH BRADFIELD ,SOUTH YORKSHIRE ,COUNTY ,01/01/1973,20/09/2018,53.4325,-1.5824,S6 6 
367,HIGH MOWTHORPE ,NORTH YORKSHIRE ,COUNTY ,01/01/1951,Current ,54.1048,-0.64149,YO17 8 
17176,HIGH WYCOMBE: HQAIR ,BUCKINGHAMSHIRE ,COUNTY ,01/12/1995,Current ,51.6813,-0.80528,HP17 0 
1489,HILLSBOROUGH ,DOWN ,COUNTY ,01/01/1930,Current ,54.4525,-6.07151,BT26 6 
395,HOLBEACH NO 2 ,LINCOLNSHIRE ,COUNTY ,01/01/1985,Current ,52.8729,0.14021,PE12 9 
